City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Moundsville,US,76.84,light rain,39.9203,-80.7431,Sleep Inn & Suites
215,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
216,Nampula,MZ,73.35,clear sky,-15.1165,39.2666,Ruby Backpackers
223,Dharmavaram,IN,79.59,broken clouds,14.4333,77.7167,BALAJI LODGE
225,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
226,Cururupu,BR,82.49,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
228,Loule,PT,75.33,clear sky,37.1377,-8.0197,Loulé Jardim Hotel
230,Presidencia Roque Saenz Pena,AR,75.2,clear sky,-26.7852,-60.4388,Hotel Gualok
231,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
233,Oriximina,BR,85.51,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
244,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
248,Notse,TG,74.25,broken clouds,6.95,1.1667,Le Berceau
249,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
250,Luang Prabang,LA,73.02,overcast clouds,19.8856,102.1347,The Apsara
251,Maragogi,BR,79.2,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
252,Bougouni,ML,82.29,light rain,11.417,-7.479,Non Stop
256,Idah,NG,76.62,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
264,Sibolga,ID,76.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
268,Gigmoto,PH,79.84,overcast clouds,13.7796,124.39,Cj's Travellers Inn
270,Samarinda,ID,73.49,broken clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
281,Tautira,PF,79.23,scattered clouds,-17.7333,-149.15,Pension Oaoa
282,Parrita,CR,83.23,scattered clouds,9.5201,-84.3225,Beso del Viento
283,Melfi,IT,71.49,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
291,Gidam,IN,84.65,scattered clouds,18.9833,81.4,सागर
