City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Gewane,ET,2022-05-21 04:54:28,10.1664,40.6453,89.17,17,92,1.45
269,Broome,US,2022-05-21 04:54:29,42.2506,-75.833,67.62,85,99,5.01
270,Sinnamary,GF,2022-05-21 04:54:29,5.3833,-52.95,74.62,93,100,10.42
271,Tahoua,NE,2022-05-21 04:54:29,14.8888,5.2692,86.83,29,88,8.5
272,Boyabat,TR,2022-05-21 04:54:30,41.4689,34.7667,56.1,66,0,1.86
273,Sur,OM,2022-05-21 04:55:30,22.5667,59.5289,96.49,38,3,3.13
274,Isangel,VU,2022-05-21 04:52:47,-19.55,169.2667,79.38,85,17,20.36
275,Panguna,PG,2022-05-21 04:55:30,-6.3164,155.4848,76.59,79,37,2.24
276,Sidi Ali,DZ,2022-05-21 04:55:31,36.0998,0.4206,74.25,39,16,4.61
277,Guerrero Negro,MX,2022-05-21 04:55:31,27.9769,-114.0611,62.71,80,0,10.78
278,Gizo,SB,2022-05-21 04:55:31,-8.103,156.8419,84.38,69,5,9.4
279,Tarakan,ID,2022-05-21 04:55:05,3.3,117.6333,80.1,83,40,6.91
280,Santa Helena De Goias,BR,2022-05-21 04:55:32,-17.8136,-50.5969,51.06,57,0,3.24
281,Saint-Philippe,RE,2022-05-21 04:55:32,-21.3585,55.7679,76.59,82,38,13.56
282,Cam Ranh,VN,2022-05-21 04:55:32,11.9214,109.1591,91.36,55,20,9.22
283,Mount Gambier,AU,2022-05-21 04:55:33,-37.8333,140.7667,60.55,46,6,6.17
284,Aranos,NA,2022-05-21 04:55:33,-24.1333,19.1167,37.17,74,0,14.0
285,Plettenberg Bay,ZA,2022-05-21 04:55:33,-34.0527,23.3716,53.62,83,50,6.71
286,San Fernando,PH,2022-05-21 04:55:34,15.0286,120.6898,89.33,64,81,7.96
287,San Carlos De Bariloche,AR,2022-05-21 04:55:34,-41.1456,-71.3082,45.25,70,40,25.32
288,Ishikari,JP,2022-05-21 04:55:34,43.2397,141.3539,72.27,49,75,20.71
289,Miracatu,BR,2022-05-21 04:55:34,-24.2814,-47.4597,52.34,95,4,1.99
290,Newport,GB,2022-05-21 04:53:24,51.5877,-2.9984,54.14,88,100,8.16
291,Mumford,GH,2022-05-21 04:55:35,5.2618,-0.759,77.63,87,95,9.37
292,Bathsheba,BB,2022-05-21 04:55:35,13.2167,-59.5167,81.21,74,20,16.11
293,Walvis Bay,NA,2022-05-21 04:55:35,-22.9575,14.5053,47.35,71,0,3.44
