City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Rawson,AR,-43.3002,-65.1023,48.7,83,100,19.24,moderate rain
278,Myskhako,RU,44.6714,37.7433,55.18,83,100,1.25,overcast clouds
279,Zavetnoye,RU,47.1194,43.8903,54.81,88,100,11.18,overcast clouds
280,Along,IN,28.1667,94.7667,69.89,97,100,1.74,overcast clouds
281,Tautira,PF,-17.7333,-149.15,79.23,74,26,14.63,scattered clouds
282,Parrita,CR,9.5201,-84.3225,83.23,77,48,6.15,scattered clouds
283,Melfi,IT,40.9965,15.6514,71.49,78,6,5.95,clear sky
284,Hovd,MN,48.0056,91.6419,63.81,21,97,2.17,overcast clouds
285,Kysyl-Syr,RU,63.8986,122.7617,43.12,74,20,3.4,few clouds
286,Erenhot,CN,43.6475,111.9767,67.28,35,78,4.99,broken clouds
287,Skjervoy,NO,70.0311,20.9714,48.2,88,99,1.61,overcast clouds
288,Uyskoye,RU,54.3775,60.0047,38.55,89,68,7.43,broken clouds
289,Montrose,US,38.4166,-108.2673,57.72,16,71,18.21,broken clouds
290,Katsuura,JP,35.1333,140.3,64.9,88,66,9.51,broken clouds
291,Gidam,IN,18.9833,81.4,84.65,28,29,2.06,scattered clouds
292,Nachingwea,TZ,-10.3833,38.7667,68.22,72,34,2.13,scattered clouds
293,Alibag,IN,18.6411,72.8792,86.07,74,100,10.87,overcast clouds
294,Decatur,US,39.8403,-88.9548,61.25,51,0,13.8,clear sky
295,Safford,US,32.834,-109.7076,83.32,18,0,10.36,clear sky
296,Wolgast,DE,54.05,13.7667,51.91,82,8,3.6,clear sky
297,Salamina,GR,37.9643,23.4965,77.85,32,20,0.0,few clouds
298,Zeya,RU,53.75,127.2667,42.1,93,100,13.38,moderate rain
299,Senador Guiomard,BR,-10.1522,-67.7392,85.75,60,99,2.57,overcast clouds
300,Marienburg,PL,54.0359,19.0266,52.88,94,20,5.93,few clouds
301,Hay River,CA,60.8156,-115.7999,37.38,93,100,6.91,light rain
302,Salinopolis,BR,-0.6136,-47.3561,81.09,81,28,5.64,moderate rain
303,Lavrentiya,RU,65.5833,-171.0,38.86,76,100,9.1,overcast clouds
304,Souillac,MU,-20.5167,57.5167,75.58,69,20,11.5,few clouds
305,Narrabri,AU,-30.3167,149.7833,56.59,73,100,8.12,overcast clouds
306,Pimentel,PE,-6.8367,-79.9342,71.89,60,0,20.71,clear sky
307,Cairns,AU,-16.9167,145.7667,73.35,85,100,8.05,overcast clouds
308,Gamba,GA,-2.65,10.0,75.69,74,76,6.73,broken clouds
309,Lasa,IT,46.6166,10.7002,77.88,90,100,5.79,light rain
310,Ca Mau,VN,9.1769,105.15,77.79,89,100,4.36,light rain
311,Churapcha,RU,62.0025,132.4325,36.9,85,9,5.93,clear sky
312,Shingu,JP,33.7333,135.9833,62.85,74,0,6.35,clear sky
313,Chaohu,CN,31.6,117.8667,68.68,76,100,3.62,overcast clouds
314,Ordzhonikidze,KZ,52.4411,61.7408,47.08,70,100,13.04,overcast clouds
315,Mildura,AU,-34.2,142.15,48.07,88,8,10.04,clear sky
316,Vetluzhskiy,RU,58.3902,45.4654,33.19,90,97,7.11,overcast clouds
317,Yabrud,SY,33.9674,36.6574,54.25,35,0,10.07,clear sky
318,Zyryanka,RU,65.75,150.85,46.63,60,100,13.09,overcast clouds
319,Cody,US,44.5263,-109.0565,54.91,46,0,5.99,clear sky
320,Gobabis,NA,-22.45,18.9667,52.07,49,0,8.16,clear sky
321,Fortuna,US,40.5982,-124.1573,59.86,87,75,11.5,broken clouds
322,Pangody,RU,65.85,74.4859,46.11,80,100,19.62,overcast clouds
323,Hanting,CN,36.7708,119.2108,72.18,43,84,6.53,broken clouds
324,Ancud,CL,-41.8697,-73.8203,48.94,68,0,14.14,light rain
325,Teya,RU,60.3778,92.6267,44.92,87,0,1.99,clear sky
326,Viedma,AR,-40.8135,-62.9967,58.64,35,100,13.31,light rain
327,Kupang,ID,-10.1667,123.5833,76.23,84,36,8.81,scattered clouds
328,Camacha,PT,33.0833,-16.3333,65.62,64,20,12.66,few clouds
329,Aguas Vermelhas,BR,-15.7472,-41.46,76.98,34,0,6.02,clear sky
330,Gazanjyk,TM,39.2446,55.5154,73.22,31,0,18.66,clear sky
331,Floha,DE,50.8561,13.0741,61.83,80,93,2.77,overcast clouds
332,Nsanje,MW,-16.92,35.262,73.31,76,4,3.96,clear sky
333,Murmashi,RU,68.8154,32.8115,39.61,93,75,0.0,light intensity shower rain
334,Lata,PT,40.1629,-8.3327,63.81,82,62,8.12,broken clouds
335,Port Macquarie,AU,-31.4333,152.9167,55.89,85,100,3.89,overcast clouds
336,Tokonou,GN,9.65,-9.7833,75.31,78,99,6.8,overcast clouds
337,Mujiayingzi,CN,42.1167,118.7833,64.9,49,100,6.49,overcast clouds
338,Juegang,CN,32.3174,121.1855,69.94,76,100,8.37,overcast clouds
339,Buraydah,SA,26.326,43.975,97.25,8,1,16.67,clear sky
340,Goundi,TD,9.3627,17.366,92.39,31,89,0.92,overcast clouds
341,Phetchabun,TH,16.25,101.0833,74.37,97,91,2.55,overcast clouds
342,Rantepao,ID,-2.9701,119.8978,66.81,97,100,1.43,overcast clouds
343,Soyo,AO,-6.1349,12.3689,75.56,77,60,9.8,broken clouds
344,Arrecife,ES,28.963,-13.5477,73.38,60,20,25.32,few clouds
345,Adrar,MR,20.5022,-10.0711,98.73,10,94,8.23,overcast clouds
